sample_id,raw_start,raw_end,window_id,source_node,target_node,active,focal_prediction_delta_abs,paired_effect_mean
1999,13423,13614,1,5,4,True,0.003228388261049986,6.750538998928201e-05
2070,13494,13685,1,5,4,False,0.0,0.0
2142,13566,13757,1,5,4,True,0.0018182136118412018,-9.147699725312692e-05
2213,13637,13828,1,5,4,True,0.0008323498768731952,-0.0005224810492318983
2284,13708,13899,1,5,4,True,0.0019819997251033783,-0.000332532956515654
2356,13780,13971,1,5,4,True,0.0011051819892600179,4.3547680923859515e-06
2427,13851,14042,1,5,4,False,0.0,0.0
2498,13922,14113,1,5,4,True,0.0018609396647661924,-0.0005383060913747894
2570,13994,14185,1,5,4,False,0.0,0.0
2641,14065,14256,1,5,4,True,0.0026655381079763174,2.6767912249172493e-07
2713,14137,14328,1,5,4,True,0.0020924063865095377,-0.0001562872068741573
2784,14208,14399,1,5,4,False,0.0,0.0
0,11424,11615,2,5,4,True,0.000569462135899812,-0.0020218917883799543
71,11495,11686,2,5,4,True,0.00015800201799720526,-0.0001420072720585657
143,11567,11758,2,5,4,True,0.0009204545640386641,-0.002071274303099407
214,11638,11829,2,5,4,True,0.0009138787863776088,-0.0014096548381660667
286,11710,11901,2,5,4,False,0.0,0.0
357,11781,11972,2,5,4,True,0.0006390012567862868,-0.0023903114155733158
428,11852,12043,2,5,4,False,0.0,0.0
500,11924,12115,2,5,4,True,0.0006369069451466203,-0.0006403042186450744
571,11995,12186,2,5,4,True,0.00024820311227813363,-0.00010243349035070945
642,12066,12257,2,5,4,True,0.001411051140166819,-5.493180443798848e-05
714,12138,12329,2,5,4,True,0.0007842453778721392,-0.00022118570216532268
785,12209,12400,2,5,4,False,0.0,0.0
857,12281,12472,2,5,4,True,0.0008696399163454771,-0.0011393569210278137
928,12352,12543,2,5,4,False,0.0,0.0
999,12423,12614,2,5,4,True,0.001199207967147231,-0.0012563526730186175
1071,12495,12686,2,5,4,True,0.0004959111101925373,-0.0005150443425269
1142,12566,12757,2,5,4,True,0.0006156782619655132,-0.0020817913173232228
1214,12638,12829,2,5,4,True,0.0006380624254234135,-0.001027812241643135
1285,12709,12900,2,5,4,False,0.0,0.0
1356,12780,12971,2,5,4,True,0.0011070356704294682,-0.0005865649935523315
1428,12852,13043,2,5,4,False,0.0,0.0
1499,12923,13114,2,5,4,True,0.0015182939823716879,-0.000715204988539751
1570,12994,13185,2,5,4,True,0.0006730027380399406,-0.0005556915504192667
1642,13066,13257,2,5,4,True,0.0005273178685456514,-0.0022682854739416924
1713,13137,13328,2,5,4,True,6.177512841532007e-05,-0.0011359507261659019
1785,13209,13400,2,5,4,False,0.0,0.0
1856,13280,13471,2,5,4,True,0.0010381602915003896,-0.000502577392450933
1927,13351,13542,2,5,4,False,0.0,0.0
1999,13423,13614,2,5,4,True,0.001020593917928636,-0.0010193205421923529
2070,13494,13685,2,5,4,True,0.0005704074283130467,-0.000563877946530868
2142,13566,13757,2,5,4,True,0.003818884491920471,0.0008042959213655975
2213,13637,13828,2,5,4,True,0.0008323547663167119,-0.00035212271697153993
2284,13708,13899,2,5,4,False,0.0,0.0
2356,13780,13971,2,5,4,True,0.0006190674612298608,-0.0007812787246491229
2427,13851,14042,2,5,4,False,0.0,0.0
2498,13922,14113,2,5,4,True,0.0007009205291979015,-0.002092446491587907
2570,13994,14185,2,5,4,True,0.0005299447220750153,-0.001570069039839187
2641,14065,14256,2,5,4,True,0.00019380648154765368,-0.00048028072758045577
2713,14137,14328,2,5,4,True,0.0005187384085729718,-0.0009541705533462977
2784,14208,14399,2,5,4,False,0.0,0.0
0,11424,11615,4,5,4,False,0.0,0.0
71,11495,11686,4,5,4,True,0.001576838199980557,-0.0010379598941653969
143,11567,11758,4,5,4,False,0.0,0.0
214,11638,11829,4,5,4,True,0.0001193721400341019,-0.0017876674217404797
286,11710,11901,4,5,4,True,0.0001041215073200874,-0.00048538929695496336
357,11781,11972,4,5,4,True,0.0015581463230773807,-0.002353456825949252
428,11852,12043,4,5,4,True,0.0007489320123568177,-0.0013205030700191855
500,11924,12115,4,5,4,False,0.0,0.0
571,11995,12186,4,5,4,True,0.0007438225438818336,-0.001754315453581512
642,12066,12257,4,5,4,False,0.0,0.0
714,12138,12329,4,5,4,True,0.0024609300307929516,-0.0011456203414127232
785,12209,12400,4,5,4,True,0.00041697893175296485,-0.00020980921690352263
857,12281,12472,4,5,4,True,0.0020459305960685015,-0.0005955137312412262
928,12352,12543,4,5,4,True,0.001627327990718186,-0.0005627610487863423
999,12423,12614,4,5,4,False,0.0,0.0
1071,12495,12686,4,5,4,True,0.0015518798027187586,-0.0015372834866866471
1142,12566,12757,4,5,4,False,0.0,0.0
1214,12638,12829,4,5,4,True,0.002642584964632988,-0.0014011097606271509
1285,12709,12900,4,5,4,True,0.0012270184233784676,-0.0008613097248598932
1356,12780,12971,4,5,4,True,0.005271764472126961,0.0011420501163229343
1428,12852,13043,4,5,4,True,0.002798983361572027,-0.0008100708713755012
1499,12923,13114,4,5,4,False,0.0,0.0
1570,12994,13185,4,5,4,True,0.0031505003571510315,7.94393243268134e-05
1642,13066,13257,4,5,4,False,0.0,0.0
1713,13137,13328,4,5,4,True,0.008625390008091927,0.004660620167851448
1785,13209,13400,4,5,4,True,0.001283997786231339,-3.521922044456014e-05
1856,13280,13471,4,5,4,True,0.005235346034169197,0.0023310081334784625
1927,13351,13542,4,5,4,True,0.004472714848816395,0.0005612319801002741
1999,13423,13614,4,5,4,False,0.0,0.0
2070,13494,13685,4,5,4,True,0.002160118892788887,-0.0006189041770994662
2142,13566,13757,4,5,4,False,0.0,0.0
2213,13637,13828,4,5,4,True,0.0029206040780991316,0.0007585324463434519
2284,13708,13899,4,5,4,True,0.0027594512794166803,0.0005356970243155955
2356,13780,13971,4,5,4,True,0.0006507657235488296,-0.0007989010075107217
2427,13851,14042,4,5,4,True,0.0012271511368453503,-0.0011670650099404158
2498,13922,14113,4,5,4,False,0.0,0.0
2570,13994,14185,4,5,4,True,0.002119577955454588,-0.0018259098287671804
2641,14065,14256,4,5,4,False,0.0,0.0
2713,14137,14328,4,5,4,True,0.002150885760784149,-0.0021700021810829636
2784,14208,14399,4,5,4,True,0.0038652662187814713,0.00034681139513850203
0,11424,11615,6,0,4,False,0.0,0.0
71,11495,11686,6,0,4,True,0.003902750788256526,0.0008807547856122255
143,11567,11758,6,0,4,True,0.0031018357258290052,0.0012500246853700706
214,11638,11829,6,0,4,False,0.0,0.0
286,11710,11901,6,0,4,True,0.005053923465311527,0.0031564386361943825
357,11781,11972,6,0,4,False,0.0,0.0
428,11852,12043,6,0,4,True,0.006375779863446951,0.0039728455677894604
500,11924,12115,6,0,4,True,0.0003262555110268295,-8.656810885960501e-05
571,11995,12186,6,0,4,True,0.0022817873395979404,-0.0005701743731541292
642,12066,12257,6,0,4,True,0.0015398869290947914,4.5727930098239927e-05
714,12138,12329,6,0,4,False,0.0,0.0
785,12209,12400,6,0,4,True,0.00474601099267602,0.0028035302446889026
857,12281,12472,6,0,4,False,0.0,0.0
928,12352,12543,6,0,4,True,0.0018594840075820684,9.011805689494528e-05
999,12423,12614,6,0,4,True,0.0003312595363240689,-0.000337509937318308
1071,12495,12686,6,0,4,True,0.0015589368995279074,2.4100931893502025e-05
1142,12566,12757,6,0,4,True,0.0013493152800947428,-0.0003093235593821322
1214,12638,12829,6,0,4,False,0.0,0.0
1285,12709,12900,6,0,4,True,0.0016563470708206296,-0.0007950950447203858
1356,12780,12971,6,0,4,False,0.0,0.0
1428,12852,13043,6,0,4,True,0.004531251732259989,0.002020690939389169
1499,12923,13114,6,0,4,True,0.0031795597169548273,0.0019248048774898052
1570,12994,13185,6,0,4,True,0.002297538798302412,-0.0004061198394213405
1642,13066,13257,6,0,4,True,0.001025684759952128,-0.0006590204845581735
1713,13137,13328,6,0,4,False,0.0,0.0
1785,13209,13400,6,0,4,True,0.0017044941196218133,-0.00012632408678265564
1856,13280,13471,6,0,4,False,0.0,0.0
1927,13351,13542,6,0,4,True,0.00562586635351181,0.0026500768061461194
1999,13423,13614,6,0,4,True,0.005631618667393923,0.003435273388666766
2070,13494,13685,6,0,4,True,0.0011109119514003396,-0.0024262670859960572
2142,13566,13757,6,0,4,True,0.003925912547856569,0.0015607816666098578
2213,13637,13828,6,0,4,False,0.0,0.0
2284,13708,13899,6,0,4,True,0.0018177019665017724,-0.00022591284609266684
2356,13780,13971,6,0,4,False,0.0,0.0
2427,13851,14042,6,0,4,True,0.008621151559054852,0.004008918668010405
2498,13922,14113,6,0,4,True,0.003940135706216097,0.002046686297814761
2570,13994,14185,6,0,4,True,0.001699211192317307,-0.0007049457802038106
2641,14065,14256,6,0,4,True,0.005563789047300816,0.0034449000044592787
2713,14137,14328,6,0,4,False,0.0,0.0
2784,14208,14399,6,0,4,True,0.002985413186252117,0.00028031345989022955
