sample_id,raw_start,raw_end,source_node,target_node,active,focal_prediction_delta_abs,paired_effect_mean
2713,14137,14328,0,4,True,0.0011229896917939186,-0.00330840318929404
2784,14208,14399,0,4,True,0.004785871133208275,0.0002528249984607104
0,11424,11615,5,4,True,0.0020502444822341204,-0.0031572213862091306
71,11495,11686,5,4,True,0.0016472877468913794,-0.003038014029152691
143,11567,11758,5,4,True,0.003834764938801527,-0.0005614151392364878
214,11638,11829,5,4,True,0.0010680218692868948,-0.0038529538898728786
286,11710,11901,5,4,True,0.0028018124867230654,-0.00179073226172477
357,11781,11972,5,4,True,0.0030396906659007072,-0.001450971746817231
428,11852,12043,5,4,True,0.0007489320123568177,-0.004417626652866602
500,11924,12115,5,4,True,0.0020132886711508036,-0.0013515712693333627
571,11995,12186,5,4,True,0.0008752310532145202,-0.00280291911913082
642,12066,12257,5,4,True,0.002831541234627366,0.0003388946031918751
714,12138,12329,5,4,True,0.0042843990959227085,-0.0017972343368455766
785,12209,12400,5,4,True,0.0015620961785316467,-0.004886790341697633
857,12281,12472,5,4,True,0.003113626968115568,-0.0005302900448441506
928,12352,12543,5,4,True,0.001627327990718186,-0.002419500600080937
999,12423,12614,5,4,True,0.0028458014130592346,-0.002198321255855262
1071,12495,12686,5,4,True,0.0018397291423752904,-0.0018742380314506592
1142,12566,12757,5,4,True,0.002354233991354704,-0.002358270727563649
1214,12638,12829,5,4,True,0.0033883044961839914,-0.0016696766251698136
1285,12709,12900,5,4,True,0.0023198393173515797,-0.001461889175698161
1356,12780,12971,5,4,True,0.006768747232854366,0.0023408904671669006
1428,12852,13043,5,4,True,0.002798983361572027,-0.0045980890048667785
1499,12923,13114,5,4,True,0.0022533664014190435,-0.004058159748092293
1570,12994,13185,5,4,True,0.003667896380648017,-0.0011069583240896465
1642,13066,13257,5,4,True,0.004099299665540457,0.00018252700101584196
1713,13137,13328,5,4,True,0.009936795569956303,0.004398536030203104
1785,13209,13400,5,4,True,0.0025680437684059143,0.00013537456979975096
1856,13280,13471,5,4,True,0.006952953990548849,0.0019819881767034527
1927,13351,13542,5,4,True,0.004472714848816395,-0.0017237860476598142
1999,13423,13614,5,4,True,0.004057997837662697,-0.001905084867030382
2070,13494,13685,5,4,True,0.002445010468363762,-0.0024366519297473136
2142,13566,13757,5,4,True,0.005154304672032595,0.0009048611856997011
2213,13637,13828,5,4,True,0.0038612009957432747,-0.00017629962239880132
2284,13708,13899,5,4,True,0.0038879651110619307,0.0008659600862301886
2356,13780,13971,5,4,True,0.0019161596428602934,-0.0005680639296770096
2427,13851,14042,5,4,True,0.0012271511368453503,-0.004460774455219507
2498,13922,14113,5,4,True,0.00243346206843853,-0.0019292898941785097
2570,13994,14185,5,4,True,0.0021628718823194504,-0.0024352907552383837
2641,14065,14256,5,4,True,0.0028153778985142708,-0.0021372057730332013
2713,14137,14328,5,4,True,0.003799677360802889,-0.00036404675338417257
2784,14208,14399,5,4,True,0.0038652662187814713,-0.0007598404074087737
